3;50;8;-1.681383692504639270704283604552 -0.064375224645705341641093236160 0.112490903412648253159198882822 0.074993935608432168775058009741;0 1285888 22784 11520 6656;0;0.231640624999999999997289494569 0.236805555555555555553447384665
2;200;8;-1.039984101843186540528249373061 -1.065843825805099310275250723556 2.115888520901512776396097281761 2.115888520901512776396097281761;4521984 7209041 15432726 12268800 8913003;0;0.351171875000000000005421010862 0.509722222222222222213789538658
5;200;8;1.520499999999999999993061106096 -0.050000000000000000000677626358 0.100000000000000000001355252716 0.100000000000000000001355252716;0 7012352 14419857 1703936 13369514;0;0.351171875000000000005421010862 0.509722222222222222213789538658
1;200;8;-1.429783567619152435186798133504 -0.013772032557265846366327879946 0.039889691525591526622426894605 0.026593127683727684414951263070;0 11264 25856 1703936 4712716;0;0.351171875000000000005421010862 0.509722222222222222213789538658
2;200;8;-1.123944486654464172941531030503 -1.043801835016361922352581825812 2.148057407863796657064917039470 2.148057407863796657064917039470;11 100 148 790223 3419123;0;0.398828124999999999994578989138 0.194444444444444444438421099042
4;200;8;-0.017273132708351020707301113136 -0.008071233481751876505456608744 0.033528966037196484309109226207 0.016764483018598242154554613104;46 3160054 55 25981 65;11;0.398828124999999999994578989138 0.194444444444444444438421099042
2;200;8;-1.303432614243536052890323762021 -1.328079286583715789811857566072 2.575386575411637184998200900132 2.575386575411637184998200900132;0 13500582 0 0 13303982;0;-0.339062500000000000010842021725 -0.633333333333333333326105318850
1;200;8;-0.953898273746138639095099726051 -0.260289701406200043193881268899 0.005819588443249278253844702230 0.003879725628832852169653317960;18944 11 20992 2473216 4582159;0;-0.339062499999999988897769753748 -0.633333333333333303727386009996
